домен	платформа	канал	запитів	знайдено	не_картки	прийнято	відхилено	фото%	колір%	склад%	розміри%	опис%	заміри%	жін	чол	уні	с	стан
fromus.ua	Хорошоп	мапа сайту	75	405	45	0	4	0	0	0	0	0	0	0	0	0	1235	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
gepur.com	невідомо	мапа сайту	23	1427	0	1	3	100	100	0	0	100	0	1	0	0	2561	СТЕЛЯ ЧАСУ МАГАЗИНУ: 1 речей за 20 хв
giardini-shoes.com	Хорошоп	мапа сайту	271	1055	230	0	25	0	0	0	0	0	0	0	0	0	1244	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
honchstudio.com	Shopify	shopify	7	330	0	208	153	100	89	59	55	100	0	0	0	0	77	ок
intimo.com.ua	невідомо	мапа сайту	19	49980	6	0	0	0	0	0	0	0	0	0	0	0	1377	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
jecomestudio.com	Shopify	shopify	8	65	0	68	2	100	82	0	94	94	0	0	0	0	69	ок
k.ua	generator:WordPress 5.7.1+WordPress/Woo	нема	26	0	0	0	0	0	0	0	0	0	0	0	0	0	2600	нуль прийнятих
likeangel.com.ua	generator:WordPress 7.1+WordPress/Woo	woo	17	521	0	422	104	100	100	85	64	100	0	422	0	0	491	ок
maryline.ua	generator:Next.js	мапа сайту	10	412	3	0	0	0	0	0	0	0	0	0	0	0	1231	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
maxa.ua	generator:WPML ver:4.9.7 stt:45,54;+WordPress/Woo	нема	22	0	0	0	0	0	0	0	0	0	0	0	0	0	1349	нуль прийнятих
md-fashion.ua	невідомо	нема	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	ЗАБЛОКОВАНО ботозаслоном (HTTP 403) — не пустив навіть з відбитком Chrome; потрібен домашній IP (не дата-центр)
miraton.ua	Bitrix	мапа сайту	40	1443	21	0	0	0	0	0	0	0	0	0	0	0	1226	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
morandi.ua	generator:WP Rocket 3.23.2.1+WordPress/Woo	мапа сайту	38	375	12	0	0	0	0	0	0	0	0	0	0	0	1403	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
musthave.ua	невідомо	мапа сайту	208	1017	6	0	199	0	0	0	0	0	0	0	0	0	1208	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
natali-style.com.ua	OpenCart	нема	19	0	0	0	0	0	0	0	0	0	0	0	0	0	2067	нуль прийнятих
natalibolgar.com	Bitrix	мапа сайту	210	5044	0	0	306	0	0	0	0	0	0	0	0	0	1202	ВИКЛЮЧЕНО: російська у 188 із 195 назв (П9)
nyni.shop	Shopify	shopify	140	166	0	135	31	100	99	77	96	100	0	135	0	0	360	ок
onebyone.ua	OpenCart	мапа сайту	284	4591	0	235	44	100	97	93	100	100	5	0	2	0	1209	СТЕЛЯ ЧАСУ МАГАЗИНУ: 235 речей за 20 хв
otaje.com	WordPress/Woo	мапа сайту	76	166	49	0	2	0	0	0	0	0	0	0	0	0	1233	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
pitaya.ua	Shopify	мапа сайту	208	412	1	93	103	100	0	86	0	98	0	0	0	0	1204	СТЕЛЯ ЧАСУ МАГАЗИНУ: 93 речей за 20 хв
provenceshop.com.ua	generator:OkayCMS 2.4.0	мапа сайту	32	7894	2	2	17	100	100	100	0	100	0	2	0	0	1402	СТЕЛЯ ЧАСУ МАГАЗИНУ: 2 речей за 20 хв
ricamare.com.ua	Хорошоп	мапа сайту	251	451	179	0	43	0	0	0	0	0	0	0	0	0	1367	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
rito.ua	OpenCart	мапа сайту	148	507	2	133	7	100	100	100	98	100	0	133	0	0	1222	СТЕЛЯ ЧАСУ МАГАЗИНУ: 133 речей за 20 хв
sarahberlin.com	OpenCart	мапа сайту	181	598	0	0	57	0	0	0	0	0	0	0	0	0	1223	ВИКЛЮЧЕНО: російська у 54 із 57 назв (П9)
sezone.ua	Хорошоп	мапа сайту	164	154	151	0	3	0	0	0	0	0	0	0	0	0	161	нуль прийнятих
skripka.com.ua	невідомо	нема	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	ЗАБЛОКОВАНО ботозаслоном (HTTP 403) — не пустив навіть з відбитком Chrome; потрібен домашній IP (не дата-центр)
solmar.com.ua	Bitrix	мапа сайту	39	4086	5	0	54	0	0	0	0	0	0	0	0	0	1225	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
staff-clothes.com	невідомо	нема	4	0	0	0	0	0	0	0	0	0	0	0	0	0	12	ЗАБЛОКОВАНО ботозаслоном (HTTP 403) — не пустив навіть з відбитком Chrome; потрібен домашній IP (не дата-центр)
stolyarchuk.com.ua	OpenCart	мапа сайту	91	964	0	3	66	100	67	0	100	100	0	3	0	0	1254	СТЕЛЯ ЧАСУ МАГАЗИНУ: 3 речей за 20 хв
sunwin-store.com	generator:WordPress 7.1+WordPress/Woo+OpenCart+Magento+Squarespace	woo	19	1397	0	656	10	100	100	97	100	97	0	656	0	0	1230	СТЕЛЯ ЧАСУ МАГАЗИНУ: 656 речей за 20 хв
theoriginals.com.ua	невідомо	нема	4	0	0	0	0	0	0	0	0	0	0	0	0	0	25	ЗАБЛОКОВАНО ботозаслоном (HTTP 403) — не пустив навіть з відбитком Chrome; потрібен домашній IP (не дата-центр)
tm-beart.com	generator:WordPress 7.1+WordPress/Woo	woo+через відбиток Chrome	44	343	0	151	62	100	98	76	100	91	0	135	16	0	1243	СТЕЛЯ ЧАСУ МАГАЗИНУ: 151 речей за 20 хв
twice.com.ua	PrestaShop	мапа сайту	58	729	0	27	12	100	11	85	93	96	0	27	0	0	1237	СТЕЛЯ ЧАСУ МАГАЗИНУ: 27 речей за 20 хв
vilni.store	Хорошоп	мапа сайту	497	961	488	0	1	0	0	0	0	0	0	0	0	0	1204	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
virna.ua	невідомо	мапа сайту	75	359	29	0	13	0	0	0	0	0	0	0	0	0	1282	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
vittorossi.ua	Bitrix	мапа сайту	14	5184	1	0	3	0	0	0	0	0	0	0	0	0	1221	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
vmma.com.ua	OpenCart	розділи	207	506	150	0	0	0	0	0	0	0	0	0	0	0	1243	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
voronin.ua	невідомо	нема	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2073	нуль прийнятих
vovk.com	OpenCart	мапа сайту	23	2679	0	0	3	0	0	0	0	0	0	0	0	0	2615	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
vsisvoi.ua	невідомо	мапа сайту	64	271	31	2	7	100	0	0	0	0	0	2	0	0	1254	СТЕЛЯ ЧАСУ МАГАЗИНУ: 2 речей за 20 хв
wearme.ua	Shopify	shopify	17	1000	0	36	2775	100	100	0	100	100	0	36	0	0	191	ок
welfare.ua	OpenCart	мапа сайту	155	5905	135	0	0	0	0	0	0	0	0	0	0	0	1223	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
yakfaino.com	generator:Weblium, effortless website bu	мапа сайту	130	235	38	36	41	100	50	25	0	44	0	0	0	0	1309	СТЕЛЯ ЧАСУ МАГАЗИНУ: 36 речей за 20 хв
yulashop.com.ua	Хорошоп	мапа сайту	39	192	20	0	12	0	0	0	0	0	0	0	0	0	1272	СТЕЛЯ ЧАСУ МАГАЗИНУ: 0 речей за 20 хв
