домен	сімейство	транспорт	пошук	річ_regex	мова	картка	стан	доказ_розвідки_07-09	примітка
rito.ua	список	браузер	розділи з меню		/	ld Product	чернетка	головна 200/251505Б; розділ 12 речей з ціною, 16 канд.; картка ld=True og=False ціна=False характ.=13 склад=False; sitemap 200/508; products.json 404; wc-store 404; 14.1 с	
onebyone.ua	список	браузер	розділи з меню; пагінація /page-{n}	^/[a-z0-9-]+/[a-z0-9-]+$	/	h1 + ціна + таблиця	чернетка	головна 200/309246Б; розділ 0 речей з ціною, 19 канд.; картка ld=False og=False ціна=True характ.=0 склад=False; sitemap 200/518; products.json 404; wc-store 404; 24.8 с	ціни є, розвідка не побачила через формат
dolcedonna.com.ua	список	браузер	розділи з меню; sitemap 1091		/	ld Product	чернетка	головна 200/202752Б; розділ 35 речей з ціною, 52 канд.; картка ld=True og=True ціна=True характ.=24 склад=True; sitemap 200/1091; products.json 404; wc-store 404; 6.7 с	
stolyarchuk.com.ua	список	браузер	розділи /katalog/*; пагінація /page-{n}	^/katalog/[^/]+/[^/]+$	/	ld Product	чернетка	головна 200/298242Б; розділ 0 речей з ціною, 25 канд.; картка ld=True og=False ціна=True характ.=12 склад=False; sitemap 200/1726; products.json 404; wc-store 404; 22.8 с	
brenda.ua	список	браузер	розділи з меню; пагінація /page-{n}	^/[a-z0-9-]+-\d+$	/	h1 + ціна + таблиця	чернетка	головна 200/78413Б; розділ 24 речей з ціною, 25 канд.; картка ld=False og=False ціна=True характ.=- склад=-; sitemap 200/0/індекс; products.json 404; wc-store 200; 17.2 с	картка без ld/og: h1 + ціна + таблиця
devari.com.ua	список	браузер	розділи /odyag/*; пагінація ?page={n}	route=product/product&product_id=\d+	/	h1 + ціна + таблиця	чернетка	головна 200/52713Б; розділ 0 речей з ціною, 24 канд.; картка ld=False og=False ціна=True характ.=0 склад=False; sitemap 200/0; products.json 404; wc-store 404; 10.4 с	посилання не-SEO
natali-style.com.ua	список	браузер	розділи з меню; ?limit=100	route=product/product.*product_id=\d+	/	h1 + ціна + таблиця	чернетка	головна 200/64749Б; розділ 22 речей з ціною, 23 канд.; картка ld=False og=False ціна=True характ.=- склад=-; sitemap 200/0; products.json 404; wc-store 404; 15.2 с	картка без ld/og
vmma.com.ua	список	браузер	розділи з меню		/	ld Product	чернетка	головна 200/53456Б; розділ 12 речей з ціною, 13 канд.; картка ld=True og=True ціна=True характ.=3 склад=True; sitemap 200/0; products.json 404; wc-store 404; 11.8 с	
vovk.com	список	браузер	розділи з меню		/ua/	ld Product	чернетка	головна 200/164503Б; розділ 10 речей з ціною, 22 канд.; картка ld=True og=True ціна=True характ.=43 склад=True; sitemap 200/4/індекс; products.json 404; wc-store 404; 7.0 с	43 рядки характеристик — найбагатша картка
welfare.ua	список	браузер	розділи з меню		/	ld Product	чернетка	головна 200/107805Б; розділ 29 речей з ціною, 30 канд.; картка ld=True og=True ціна=True характ.=39 склад=False; sitemap 200/7/індекс; products.json 404; wc-store 200; 30.1 с	39 рядків характеристик; взуття
sarahberlin.com	список	браузер	/uk/katalog/*; пагінація ?page={n}		/uk/	h1 + ціна + таблиця	чернетка	головна 200/83206Б; розділ 0 речей з ціною, 24 канд.; картка ld=False og=False ціна=False характ.=- склад=-; sitemap 200/350; products.json 200; wc-store 200; 27.9 с	ціни ₴-спереду; назви UA на /uk/ — П9 спрацював на / без префікса
natalibolgar.com	список	браузер	/ua/catalog/*; PAGEN_1={n}		/ua/	ld Product	чернетка	головна 200/704138Б; розділ 18 речей з ціною, 46 канд.; картка ld=True og=False ціна=True характ.=2 склад=False; sitemap 200/3/індекс; products.json 404; wc-store 404; 43.8 с	ld Product; назва UA на /ua/
bella-bicchi.com	список	браузер	/catalog/*; пагінація /page-{n}	^/catalog/[^/]+-\d+/$	/	ld Product	чернетка	головна 200/1032804Б; розділ 0 речей з ціною, 34 канд.; картка ld=True og=True ціна=True характ.=36 склад=False; sitemap 200/4/індекс; products.json 404; wc-store 404; 30.5 с	36 рядків характеристик; ld Product
vittorossi.ua	список	браузер	/ua/shop/*	\.html$	/ua/	h1 + ціна + таблиця	чернетка	головна 200/261076Б; розділ 12 речей з ціною, 12 канд.; картка ld=False og=False ціна=True характ.=2 склад=False; sitemap 200/5/індекс; products.json 404; wc-store 200; 24.4 с	без ld; взуття
miraton.ua	список	браузер	/ua/*; PAGEN_1={n}		/ua/	ld Product	чернетка	головна 200/895770Б; розділ 32 речей з ціною, 38 канд.; картка ld=True og=False ціна=False характ.=2 склад=False; sitemap 200/8/індекс; products.json 404; wc-store 404; 14.7 с	ld Product; взуття
solmar.com.ua	список	браузер	/ua/catalog/*	^/ua/catalog/[^/]+/[^/]+/$	/ua/	h1 + ціна + таблиця	чернетка	головна 200/329635Б; розділ 1 речей з ціною, 28 канд.; картка ld=False og=False ціна=True характ.=0 склад=False; sitemap 200/7/індекс; products.json 404; wc-store 404; 15.2 с	розділ віддає речі (солмар-клуб — не картка)
twice.com.ua	список	браузер	розділи з меню		/	ld Product	чернетка	головна 200/354470Б; розділ 18 речей з ціною, 30 канд.; картка ld=True og=True ціна=True характ.=2 склад=False; sitemap 200/1/індекс; products.json 404; wc-store 404; 20.2 с	ld Product
yakfaino.com	список	браузер	sitemap-індекс (3); /shop/*	^/shop/[a-z0-9-]+$	/	ld Product	чернетка	головна 200/2454711Б; розділ 40 речей з ціною, 40 канд.; картка ld=True og=True ціна=False характ.=0 склад=False; sitemap 200/3/індекс; products.json 404; wc-store 404; 19.1 с	Weblium; ld Product; є per-product JSON api.getecom.app
andretan.ua	список	браузер	sitemap 2353 URL		/	ld Product	чернетка	головна 200/256408Б; розділ 0 речей з ціною, 14 канд.; картка ld=True og=False ціна=True характ.=22 склад=True; sitemap 200/2353; products.json 404; wc-store 404; 42.4 с	ld Product; 22 рядки характеристик
favoriteshoes.com.ua	список	браузер	sitemap 745 URL		/	ld Product	чернетка	головна 200/208732Б; розділ 32 речей з ціною, 40 канд.; картка ld=True og=True ціна=True характ.=24 склад=False; sitemap 200/745; products.json 404; wc-store 404; 14.2 с	ld Product; взуття
alot.com.ua	список	браузер	sitemap 2142 URL		/	og + ціна + h1 + таблиця	чернетка	головна 200/43614Б; розділ 12 речей з ціною, 12 канд.; картка ld=False og=True ціна=True характ.=8 склад=True; sitemap 200/2142; products.json 404; wc-store 404; 5.5 с	og; 8 рядків характеристик
provenceshop.com.ua	список	браузер	sitemap 948 URL		/ua	ld Product	чернетка	головна 200/267351Б; розділ 9 речей з ціною, 33 канд.; картка ld=True og=False ціна=True характ.=10 склад=True; sitemap 200/948; products.json 404; wc-store 404; 29.4 с	ld Product
cultboutique.com.ua	список	браузер	/ua/catalog/*; пагінація /page-{n}	^/ua/products/\d+$	/ua/	h1 + ціна + таблиця	чернетка	головна 200/319136Б; розділ 24 речей з ціною, 27 канд.; картка ld=False og=False ціна=False характ.=- склад=-; sitemap 200/2374; products.json 404; wc-store 404; 18.1 с	картка без ld/og: h1 + ціна; взуття/аксесуари
musthave.ua	список	браузер	/ua/catalog/*; пагінація ?page={n}	^/ua/product/\d+-	/ua/	h1 + ціна + таблиця	чернетка	головна 200/805294Б; розділ 0 речей з ціною, 36 канд.; картка ld=False og=False ціна=True характ.=4 склад=False; sitemap 200/3; products.json 404; wc-store 404; 49.1 с	Cloudflare пропустив; ціни ₴-спереду
k.ua	список	браузер	/product-category/*; /page/{n}	^/product/[^/]+/$	/	ld Product	чернетка	головна 200/607089Б; розділ 39 речей з ціною, 72 канд.; картка ld=True og=True ціна=True характ.=12 склад=True; sitemap 200/5/індекс; products.json 404; wc-store 404; 21.7 с	Woo без Store API (404) — списки; ld Product
maryline.ua	список	браузер	/catalog/*	^/catalog/[^/]+/[^/]+$	/	h1 + ціна + таблиця	чернетка	головна 200/765922Б; розділ 0 речей з ціною, 9 канд.; картка ld=False og=False ціна=True характ.=0 склад=False; sitemap 200/415; products.json 404; wc-store 403; 19.2 с	Next.js RSC; продукти в HTML розділу
theoriginals.com.ua	список	дім	?		/ua	h1 + ціна + таблиця	чернетка	головна 403/28815Б; розділ - речей з ціною, - канд.; картка ld=- og=- ціна=- характ.=- склад=-; sitemap 403/0; products.json 403; wc-store 403; 24.0 с	403 на головній з дата-центру
skripka.com.ua	список	дім	?		/	h1 + ціна + таблиця	чернетка	головна 403/28703Б; розділ - речей з ціною, - канд.; картка ld=- og=- ціна=- характ.=- склад=-; sitemap 404/4/індекс; products.json 403; wc-store 403; 24.4 с	403 на головній з дата-центру
cher17.com	список	дім	/product-category/*	^/product/[^/]+/$	/	h1 + ціна + таблиця	чернетка	головна 200/720028Б; розділ 0 речей з ціною, 0 канд.; картка ld=- og=- ціна=- характ.=- склад=-; sitemap 403/0; products.json 403; wc-store 403; 72.8 с	WordPress; виклик Cloudflare на розділі
intimo.com.ua	список	дім	/ua/*		/ua/	h1 + ціна + таблиця	чернетка	головна 200/1657365Б; розділ 0 речей з ціною, 0 канд.; картка ld=- og=- ціна=- характ.=- склад=-; sitemap 403/0; products.json 403; wc-store 403; 72.7 с	WordPress; виклик Cloudflare на розділі
tm-beart.com	woo	дім	/wp-json/wc/store/v1/products?per_page=100&page={n}		/	з JSON	чернетка	головна 200/310187Б; розділ 8 речей з ціною, 18 канд.; картка ld=False og=False ціна=False характ.=- склад=-; sitemap 403/0; products.json 403; wc-store 403; 78.7 с	виклик Cloudflare на картці з дата-центру; Woo API удома
vsisvoi.ua	список	дім	розділи з меню; ?page={n}	^/store/[a-z0-9-]+$	/	h1 + ціна + таблиця	чернетка	головна 200/433832Б; розділ 58 речей з ціною, 114 канд.; картка ld=False og=False ціна=False характ.=- склад=-; sitemap 403/0; products.json 403; wc-store 403; 81.7 с	виклик на картці; мультибренд, 58 речей на головній
md-fashion.ua	список	дім	розділи з меню	^/store/[a-z0-9-]+$	/	h1 + ціна + таблиця	чернетка	головна 200/886408Б; розділ 59 речей з ціною, 148 канд.; картка ld=False og=False ціна=False характ.=- склад=-; sitemap 403/0; products.json 403; wc-store 403; 77.0 с	виклик на картці; мультибренд
