домен	база	ua_шлях	стать_типово	стан	нотатка
pitaya.ua	https://pitaya.ua		невідомо	увімкнено	Shopify; пляжне, є чоловіче
sunwin-store.com	https://www.sunwin-store.com		невідомо	увімкнено	пояси
alot.com.ua	https://alot.com.ua		жіноче	увімкнено	
emmeliedelage.com	https://emmeliedelage.com		жіноче	увімкнено	Хорошоп
fromus.ua	https://fromus.ua	/ua	жіноче	увімкнено	Хорошоп/Shopify
intimo.com.ua	https://www.intimo.com.ua	/ua	невідомо	увімкнено	
natalibolgar.com	https://natalibolgar.com	/ua	жіноче	увімкнено	Bitrix; «lang=uk бреше» (v2); 25 записів і 1 ціна у v2 — перевірити карткою
attico.ua	https://attico.ua		невідомо	увімкнено	Woo; сумки
yulashop.com.ua	https://yulashop.com.ua		жіноче	увімкнено	Хорошоп; хвіст «| YULA … фото» у назвах
giardini-shoes.com	https://giardini-shoes.com		невідомо	увімкнено	Хорошоп; взуття
otaje.com	https://otaje.com		жіноче	увімкнено	headless, REST на api.otaje.com (v2); HEX у картці; латинські імена моделей — колір не з назви; якщо картки порожні — API
provenceshop.com.ua	https://provenceshop.com.ua	/ua	жіноче	увімкнено	
ricamare.com.ua	https://ricamare.com.ua		жіноче	увімкнено	Хорошоп
sezone.ua	https://sezone.ua		невідомо	увімкнено	Хорошоп
# ── решта з 66 (у каталозі 27.08 не було або провалились) ──
devari.com.ua	https://devari.com.ua		жіноче	увімкнено	провалився 25.08 — причина не встановлена
vmma.com.ua	https://vmma.com.ua		жіноче	увімкнено	є також на vsisvoi
cooshwear.com	https://cooshwear.com		жіноче	увімкнено	провалився 25.08
andretan.ua	https://andretan.ua		жіноче	увімкнено	
yakfaino.com	https://yakfaino.com		невідомо	увімкнено	вишиванки, є чоловіче
friendsoffashion.com.ua	https://friendsoffashion.com.ua		жіноче	увімкнено	провалився 25.08
skripka.com.ua	https://skripka.com.ua		жіноче	увімкнено	Cloudflare «Just a moment» крізь проксі (П16) — з сервера перевірити ще раз
nyni.shop	https://nyni.shop	/uk	жіноче	увімкнено	Shopify; склад у картці є
natali-style.com.ua	https://natali-style.com.ua		жіноче	увімкнено	
theoriginals.com.ua	https://theoriginals.com.ua	/ua	невідомо	увімкнено	мультибренд; Cloudflare-блоки 27.08 (П16)
ager.ua	https://ager.ua		невідомо	увімкнено	є чоловіча лінія; ФІД РОСІЙСЬКИЙ (23.08, «ніколи знову») — лише картки UA, гейт П9 вирішує
virna.ua	https://virna.ua		жіноче	увімкнено	самопис; фіда нема — лише картки
maryline.ua	https://maryline.ua		жіноче	увімкнено	з v2
# ── міжнародні мережі: каталог не віддають нікому (П16, 8/8 провалились 25.08) ──
zara.com	https://www.zara.com/ua/uk/	/ua/uk	невідомо	вимкнено	партнерська мережа, потрібна реєстрація людиною
reserved.com	https://www.reserved.com/ua/uk/	/ua/uk	невідомо	вимкнено	партнерська мережа
shop.mango.com	https://shop.mango.com/ua/uk/	/ua/uk	невідомо	вимкнено	партнерська мережа
next.ua	https://www.next.ua/uk	/uk	невідомо	вимкнено	партнерська мережа
mohito.com	https://www.mohito.com/ua/uk/	/ua/uk	невідомо	вимкнено	партнерська мережа
modivo.ua	https://modivo.ua		невідомо	вимкнено	партнерська мережа
wittchen.ua	https://www.wittchen.ua		невідомо	вимкнено	партнерська мережа
answear.ua	https://answear.ua		невідомо	вимкнено	лістинг без URL речей; партнерська мережа
# ── КАНДИДАТИ НА ЧОЛОВІЧЕ (04.09.2026): домени з пам'яті, не перевірені — перший прогін скаже ──
arber.ua	https://arber.ua		чоловіче	увімкнено	кандидат: укр. чоловічий бренд (костюми, кежуал); домен не перевірено
voronin.ua	https://voronin.ua		чоловіче	увімкнено	кандидат: чоловічі костюми; домен не перевірено
staff-clothes.com	https://staff-clothes.com		унісекс	увімкнено	кандидат: унісекс streetwear; домен не перевірено
bezet.com.ua	https://bezet.com.ua		унісекс	увімкнено	кандидат: унісекс streetwear; домен не перевірено
